po_number,supplier_id,po_date,vendor_ref,currency_code,payment_terms
PO10001_1,1,2025-06-06,VR-4315,USD,NET_30
PO10002_1,2,2025-06-03,VR-0373,USD,NET_30
PO10004_1,4,2025-05-17,VR-8666,USD,NET_30
PO10005_1,5,2025-05-18,VR-6690,USD,NET_30
PO10006_1,6,2025-06-07,VR-7904,USD,NET_45
PO10007_1,7,2025-05-27,VR-4843,USD,NET_30
PO10008_1,8,2025-05-25,VR-6532,USD,NET_45
PO10009_1,9,2025-05-24,VR-4595,USD,NET_45
PO10010_1,10,2025-05-15,VR-4930,USD,NET_45
PO10011_1,11,2025-06-06,VR-2831,USD,NET_45
PO10012_1,12,2025-05-31,VR-0507,USD,NET_45
PO10013_1,13,2025-05-24,VR-4458,USD,NET_30
PO10014_1,14,2025-05-25,VR-3407,USD,NET_45
PO10015_1,15,2025-05-21,VR-6792,USD,NET_30
PO10016_1,16,2025-05-24,VR-9426,USD,NET_45
PO10017_1,17,2025-06-01,VR-1275,USD,NET_45
PO10018_1,18,2025-05-18,VR-2529,USD,NET_45
PO10019_1,19,2025-06-04,VR-5837,USD,NET_45
PO10020_1,20,2025-05-24,VR-3906,USD,NET_45
PO10021_1,21,2025-05-24,VR-9594,USD,NET_45
PO10022_1,22,2025-05-24,VR-8480,USD,NET_45
PO10023_1,23,2025-05-19,VR-9187,USD,NET_30
PO10024_1,24,2025-05-17,VR-1070,USD,NET_45
PO10025_1,25,2025-05-10,VR-3363,USD,NET_30
PO10026_1,26,2025-05-28,VR-4659,USD,NET_30
PO10027_1,27,2025-05-23,VR-5275,USD,NET_30
PO10028_1,28,2025-05-20,VR-2418,USD,NET_30
PO10029_1,29,2025-06-04,VR-9768,USD,NET_45
PO10030_1,30,2025-05-24,VR-6510,USD,NET_30
PO10031_1,31,2025-05-12,VR-1761,USD,NET_30
PO10032_1,32,2025-05-17,VR-3294,USD,NET_30
PO10033_1,33,2025-05-16,VR-5006,USD,NET_45
PO10034_1,34,2025-05-20,VR-1596,USD,NET_30
PO10035_1,35,2025-05-26,VR-1577,USD,NET_30
PO10036_1,36,2025-05-21,VR-8224,USD,NET_45
PO10037_1,37,2025-05-25,VR-5790,USD,NET_45
PO10038_1,38,2025-05-12,VR-8602,USD,NET_30
PO10039_1,39,2025-05-17,VR-8152,USD,NET_30
PO10040_1,40,2025-05-10,VR-5913,USD,NET_45
PO10041_1,41,2025-05-21,VR-9532,USD,NET_45
PO10042_1,42,2025-06-04,VR-7958,USD,NET_45
PO10043_1,43,2025-06-06,VR-0609,USD,NET_45
PO10044_1,44,2025-05-12,VR-9341,USD,NET_45
PO10045_1,45,2025-05-22,VR-1287,USD,NET_30
PO10046_1,46,2025-05-18,VR-9546,USD,NET_30
PO10047_1,47,2025-05-30,VR-4987,USD,NET_30
PO10048_1,48,2025-05-10,VR-2632,USD,NET_30
PO10049_1,49,2025-06-07,VR-2819,USD,NET_45
PO10050_1,50,2025-05-10,VR-7052,USD,NET_30
