po_number,line_number,material_id,quantity_order,uom,delivery_date,unit_price,line_total
HPO1_1,1,9%_Ni_Alloy,4,ft,2024-08-26,386.05,1544.2
HPO1_1,2,FLANGE,5,pcs,2024-08-10,268.34,1341.7
HPO1_1,3,INSULATION,14,pcs,2024-08-10,369.19,5168.66
HPO1_2,1,304L_SS,15,ft,2025-03-11,362.81,5442.15
HPO1_2,2,INSULATION,17,pcs,2025-02-11,244.88,4162.96
HPO1_2,3,VALVE,17,pcs,2025-02-04,341.07,5798.19
HPO1_2,4,9%_Ni_Alloy,15,ft,2025-03-13,269.74,4046.1
HPO1_2,5,VALVE,2,pcs,2025-02-12,360.79,721.58
HPO1_2,6,9%_Ni_Alloy,9,ft,2025-02-19,385.81,3472.29
HPO1_2,7,GASKET,9,pcs,2025-02-16,289.68,2607.12
HPO1_3,1,304L_SS,16,ft,2024-09-13,366.23,5859.68
HPO1_3,2,INSULATION,18,pcs,2024-08-24,362.53,6525.54
HPO1_3,3,VALVE,19,pcs,2024-08-19,191.3,3634.7
HPO1_3,4,FLANGE,13,pcs,2024-08-29,314.85,4093.05
HPO1_4,1,GASKET,10,pcs,2024-11-07,277.96,2779.6
HPO1_4,2,FLANGE,7,pcs,2024-11-08,361.88,2533.16
HPO1_4,3,GASKET,19,pcs,2024-11-13,121.24,2303.56
HPO1_4,4,9%_Ni_Alloy,7,ft,2024-12-06,341.75,2392.25
HPO1_4,5,GASKET,12,pcs,2024-11-10,141.8,1701.6
HPO1_4,6,304L_SS,17,ft,2024-11-27,282.18,4797.06
HPO1_4,7,9%_Ni_Alloy,13,ft,2024-11-21,121.1,1574.3
HPO1_5,1,304L_SS,4,ft,2024-08-21,300.12,1200.48
HPO1_5,2,304L_SS,17,ft,2024-08-13,101.55,1726.35
HPO1_5,3,VALVE,1,pcs,2024-08-04,358.89,358.89
HPO1_5,4,INSULATION,12,pcs,2024-07-21,287.22,3446.64
HPO1_5,5,VALVE,12,pcs,2024-07-24,101.0,1212.0
HPO1_5,6,GASKET,15,pcs,2024-08-01,342.01,5130.15
HPO1_5,7,9%_Ni_Alloy,2,ft,2024-08-15,229.93,459.86
HPO1_6,1,9%_Ni_Alloy,17,ft,2024-09-06,90.02,1530.34
HPO1_6,2,FLANGE,15,pcs,2024-08-26,354.36,5315.4
HPO1_6,3,INSULATION,19,pcs,2024-08-15,394.87,7502.53
HPO1_6,4,VALVE,6,pcs,2024-08-25,318.67,1912.02
HPO1_6,5,9%_Ni_Alloy,17,ft,2024-09-19,308.78,5249.26
